Race,"Rich(>16k), Middle(6k-16k), Poor(>6k)https://flowingdata.com/2014/07/02/jobs-charted-by-state-and-salary/",Age,Housing comments
white,middle,30,"Hi Everyone. I’m looking to find a summer/short-term sublease within the Atlanta area. No real preference on location but was hoping to find somewhere within my $1500 budget. Any recommendations would be very much appreciated! ABOUT ME: I’m 26 years old; I work as a Marketing Solutions Specialist with ESPN and I also work in an Operations Lead for a small sports media startup in Atlanta. I grew up on Long Island, NY and Portland, ME, went to UMass Amherst for school, lived in NYC for a few years (Bronx and Upper East Side) but am looking to make the move to ATL now that I am working from home. I’m an avid fan of exercise and outdoors and so would love to be around any hiking trails and gyms and really enjoy everything relating to sports media content creation (I’ve hosted radio shows and podcasts in the past, done a little bit of drone videography, and am managing a few professional social media accounts). I’m really into music (can listen to anything but can converse for hours on hip-hop, R&B, Soul), video games (particularly NBA 2K) and comedy TV Shows/Movies (huge fan of Curbed, Dave, and Schitts Creek) but can appreciate any art-form. I’m definitely interested in finding an awesome place to live, with or without roommates, but hopefully with people who ideally share some of these qualities! Typical things like neatness, proactive communication, and good energy. But, even more, it would be amazing to share a space with people whom I can develop an eventual friendship with! Would love to meet people who share a collective interest in making the place feel like “home”. No gender preference either, as I was most recently living with 2 girls and 1 guy and had no preference to when I was living with 3 guys. If this seems like a great fit, please shoot me a message telling me about yourself! I’m also super happy to answer any questions you might have! Would love to follow up over any Zoom as well!"
white,middle,24,"Hello everyone! Myself and my friend (23 and 22 respectively) are looking for a 2 or 3 br house or townhome in the five points, Inman park, VA highlands, O4W, or Druid Hills area. Our moving date wouldn’t be until mid June and our budget is around $2-2.5k a month with wiggle room for utilities, wifi, etc. We’d also be living with a total of 3 cats as well. Thanks in advance for any suggestions you all might have!"
white,middle,45,Posting again. Work has us moving to the McDonough area. We are trying to find a house to rent on a month to month basis while we look to purchase a home. Corporate housing won’t allow our pets. So we need a house that has a fenced back yard in the McDonough area. We need it by 4/1. Thanks!
white,middle,29,Hi friends! Looking for a 2 bedroom rental under $2000 in Inman Park/O4W/Va-Hi/Lil 5-ish area. Must be dog-friendly!
black,middle,25,"What’s Up! Looking for a __________ ____ __________ room In ATL for a friend. Quiet and too their self , very respectable & Clean. barely home because They work a lot. 4/20 friendly Searching for rooms $500-$600 Trying to move in ________."
black,middle,25,Looking for a 3 bedroom / 2 bathroom house. I have an ESA registered Siberian husky. My budget is: 1100-1300 per month. Preferably on the east side.
white,middle,32,"Hi my boyfriend and I are looking for a rental possibly long term because I’m sooo sick of moving. I’m getting a head start. Looking to move anytime between April-June. My current landlord is selling his home we live in, but he’s flexible with our move out. We want a house. No apartments/townhomes. No roommates, sorry. We currently live in Buford so really anything 30minutes around the city. In the city is fine if it’s a safe area. our budget is 1700. We are the easiest on/time tenants ever. Looking for an awesome landlord."
white,middle,30,"Hello! My spouse and I are looking for a HOUSE or CONDO in mid May for around $1700(slightly flexible) We both have decent credit, and are clean and quiet. We’ve never paid rent late. We have 2 older kitties that sleep all the time. I’m a case coordinator at a law firm in Buckhead and an EAV bartender & my spouse is the maintenance manager at St. Thomas More church/school. Must have in unit laundry and we prefer no carpet. We’re interested in East Atlanta, L5P, Druid Hills/North Druid Hills, Decatur (30030,30032,30033 only), North Decatur, Midtown and places that are central to both our jobs. Please DM me or reply if you have anything that might meet our criteria. Photo of search area and us being goofy for attention __Thanks, ya’ll."
white,middle,51,Hi everyone! I'm a 51 yr gay male looking for a 1 BR+ in the Midtown/VA HI area. Max budget of $1500 with April move in. I'm an architect relocating from Louisiana next month for a new job in the Buckhead area.
white,middle,25,"Hi everyone! My name is Mirage and my current lease ends in July. I was going to move back in with my parents to save money, but things have happened. I plan on attending GGC in the fall and as of right now currently work in Alpharetta. So any location between those two would be great, or near Alpharetta, Gwinnett County area, or maybe near Brookhaven/Decatur if affordable. This would be mid-July/beginning of August. I love socializing and meeting others so I’m looking to move in with someone who would be a great, cleans after themselves and someone with similar interest. I love music, fashion, animals, the ocean as well. Sounds weeby, but Naruto has helped me a lot emotionally/mentally so if you love that show as much as me we’ll get along! I’m more of a social drinker especially if you’d like to have good night in’s or night out’s. As much as I love socializing, I am very much an introvert as I usually keep to myself in my room. As long as you are respectful of noise and having people over, it’s not a huge issue for me. I did get approved for a breeder recently and plan on adopting a dog probably around the Winter time. I’m an only child and have been wanting a new dog since mine passed away in high school. I will train it and make sure it is very obedient and loving and I am looking for a roommate who is okay with that. It’s exhausting when people talk about having their own pets, but their roommates can’t have any. Other than that, I’m pretty easy to get along with as long as it is not a toxic environment and we are respectful of each other’s spaces. I am 25 years old if she matters! I would like to have my own bathroom, but if not it’s doable. My current budget is $500-$600 and would prefer a home style place than an apartment, but I could deal with an apartment as long as the neighbors aren’t too loud and terrible lol."
black,middle,37,"Looking for a house to rent in Atlanta or immediate surrounding areas. Preferably 3 beds, 2 or 3 baths. Single family home or townhouse preferred."
black,middle,27,"My and my roommate are looking for a place to live in the Atlanta area preferably Buckhead, midtown, grant park, edgewood etc. looking for a 2bed 2bath! Pls let me know if you know of anything."
white,middle,40,"Hi everyone! I'm Martin. I'm a graphic designer here in ATL. I garden, I cook, I bike, I love music, and I'm respectful and fun __ I am looking to rent a house or apartment starting in April-May, and my budget is about $900 including utilities. I am open to roommates! I love living with people and would like to make something work. I would prefer to rent a room in a house, but apartments are cool too. I work in West Midtown but I am open to living anywhere relatively close (or near a MARTA station). Please let me know if you have any availabilities, or might be interested in housing together!"
black,middle,30,Hi I'm a single mom I'm looking for a home of my own. Recently separated from cohabitant and ready for our own so if you have a house for rent with about four to five bedrooms please let me know.
white,middle,24,"Searching for a 3 bedroom 2 bath house in the Smyrna/vinings area, not wanting to spend much more than 1500-1600 per month, is that crazy?"
white,middle,24,"Hey everyone! I am preferably looking for a studio/1bedroom. Might be open to 1 or 2 roommates if we gel well. I am looking to stay in midtown preferably somewhere around the Piedmont Park/beltline area. My budget is max $1400 but I would like to save money if possible. I work in technology for a Fortune 500 company and can provide proof of employment and will pass a credit check if necessary. I don’t have any pets, I don’t smoke, and I don’t play loud music late at night. Would like to find a place that has off-street parking for me plus street or off street parking for 1 or 2 visitors I might have. Please let me know if you have anything available."
white,middle,33,"Looking for a place to rent Mid to late March-early April. Apartment/townhome/condo/house/etc. Lease: 6 month-1 year OR month to month Max: $1200/month Open to roommates as well. Chill, laid back, fun, I work full time, doesn’t have any pets but loves animals."
white,middle,25,"Hi everyone!! I am looking for a room to rent in Smyrna (Cumberland area)/Marietta starting at the end of March. My budget is $500-700. I’m super quiet and love my privacy, even that I’m very friendly with people and pets __also I’m clean. I don’t smoke and I prefer if you smoke outside the house. Let me know If you have something with these characteristics. Thank you!"
black,middle,30,"Hey everyone! I’m looking for a temporary roommate at my apartment in Dunwoody, Georgia! 3-5 months, negotiable. I’m a music blogger & event production specialist looking to share some of my space for a while. You’d have your own bedroom and bathroom with access to living room, kitchen & patio. Open parking available. All fresh carpet! Safe & quiet neighborhood in Dunwoody across the street from a Walmart. Access to 285 is very easy. Price includes rent & utilities. No pets, quiet or more introverted people preferred but open to all. Can move in ASAP for March at a pro-rated fee. "
white,middle,30,Still looking for a 3/2 with garage for my family. Any leads appreciated. Any neighborhood within 20 minutes of Kirkwood that is safe. Please help with leads!
black,middle,44,"Hello all. I am looking for a 2/bdrm 2.5/bath townhouse or apartment for rent in the Gwinnett county area like lawrenceville, lilburn, norcross, Duluth, Loganville area. I’m looking to move by April 30, 2021. Rent range $1200-1500 per month"
white,middle,24,I’m a recent graduate working in design looking to move into a 2 bedroom apartment by the end of March and need to find a roommate. Currently looking at a floor plan at Modera in Reynoldstown. The rent total is $2185 a month. Open to other floor plans too in that complex that are not as expensive. I’m clean and like to have my place look nice. I also am fairly extroverted but would mainly only have friends over on weekends. Would like to find another young professional. Modera's website has some more photos of the apartment if you want to look. The photos I've shown are from the model photos. The floor plan I picked doesn't have photos but they should be very similar. Message me if you're interested!
white,middle,25,"Hey folks, I am looking for an apartment or room in a house around Piedmont Park/Midtown. My budget is $600-$1,300ish. Looking to move this spring (dates flexible). If you have any recs for studio apartments please feel free to share. But otherwise looking for other clean/nice/fun roommates regardless of gender. I'm 23, I work from home, and have a thirteen-year-old cat too. Feel free to message me with any questions or tips!"
white,middle,23,"Hello everyone! My name is Taylor and I am 23 years old I’m looking to rent out a room in someone’s home or apartment starting April 30! I work in the film industry so I work long hours and am not home too much. I am very clean and quiet and am looking for a nice comfortable place to live with other young 20 something women. If you have anything available feel free to comment or DM me, my price range is around 500 -600 per month."
white,middle,25,"Hi! My partner and I are looking to move to Atlanta from Nashville and are on the hunt for a house/duplex/townhouse with a yard. We're ideally looking on the east side (Cabbagetown, Grant Park, Reynoldstown, L5P, EAV). We have a dog and our budget is around $2200!"
white,middle,30,"Hi everyone! Looking for a studio or one bed in Inman, candler, vahi, midtown, that area for 2months or so (flexible) starting around March 1. Budget is ~1500. Must be furnished. If anyone knows of any very short term options in those areas please reach out!"
white,middle,25,"Hi everyone, my roommates and I are looking for a 3-4 bedroom house or apartment in the northern part of the perimeter as I’ll be working in Roswell. Our budget is around $2500. We’re all recent grads with good prior rental history. We’re looking to move in June 1st but are flexible on the start date. "
white,middle,27,"Hello, how is everyone? Looking for a room to rent or a roommate. 27 year old full time student who also owns an oddities and collectibles business. I'd like to stay around a $700 budget. Feel free to message me with any questions!"
white,middle,32,"Hello! My partner and I are looking for a 2 bedroom house to move into by April 30th. We're fairly open to all in-town neighborhoods, East or West side. We have a 60lb dog so looking for a dog friendly rental with a yard. Trying to stay under $1800 for budget. Thank you! (pic of dog for attention)"
black,middle,29,"Hello world, I’m Queen. I’m looking for a female identifying person to search for an apartment together in the Decatur/East Atlanta area. Looking to move in March ideally. Super flexible to the location though as long as it’s itp and close to downtown. I’m planning on spending no more than $650-700 with utilities included. I have found 2 particular places which run about 1150-1300 for 2bed/1bath.One of which is pictured below! NOTE: I don’t currently have a place but am searching for someone to find and sign a 12 month lease with. A little about me: A GSU Occupational Therapy student in their first year. Very chill, although I don’t smoke lmao Yogi and former yoga teacher Brunch lover and charcuterie board maker/eater Reserved enough to be the kind of roommate who you don’t see all the time (in my room like 80% of the time) Social enough to have girl talk/gossip time & movie/wine nights if you're into that I do work from home part time about 3 nights a week so having a quiet space on those evenings is essential. No pets but I’m open to very quiet dogs or cozy cats Don’t smoke or do any type of drugs LGBTQIA+ friendly Liberal af Message me if you have any questions or think we’d be a good fit."
white,middle,40,"Looking for a 1br/1 ba ITP for a March move (somewhat flexible on date). Currently do not have pets but will be adopting again soon so definitely interested in something pet friendly. Quiet is key (ie: if it's a complex, well insulated so you do not hear neighbors through the walls and preferably high ceilings for the same reason). Clean is key (no bug infestations please __) Clean, quiet, responsible tenant _Max budget is $1550-$1600/month. Decatur, Brookhaven, Buckhead, Kirkwood, Morningside, EAV, Druid Hills, OFW, Inman Park, Edgewood, Garden Hills, . W/dr in unit. Central heat/air. Safe parking situation. Thanks so much!"
white,middle,26,Has anyone rented from MLC properties and can share their experience? Pros/cons? I’m looking for a 1/1 in May and love their unique properties but I’m concerned about safety since most don’t have parking garages or gates. Also open to suggestions on how to find unique rentals like these!
white,middle,30,"Hello all! My partner-in-crime and myself are looking for roommates who have a 1BD to rent. Location is flexible. Preferences would include a lockable door, private bathroom, open access to washer/dryer, and a bug-free space. Roommate preferences include: decent humans, no cigarette smoking, no hard drugs, and cat-friendly. As for myself, I am a military vet, LGBTQIA+ friendly, and lover of waffles. I currently work as an Executive Assistant for a local film company, which means my hours are sometimes quirky. Monkey is very well behaved, clicker and harness trained, and a registered service animal. He is good with cats and dogs after a proper introduction. He LOVES other humans too __ My budget has a hard limit of $900 (INCLUDING all utilities!). Open to short lease terms, but would prefer something in the 8-12 month range. Ideally, we would like to move in sometime in March. I have tons of references, both personal and professional, including previous landlords. I am also open to any questions you might have for me __"
white,middle,30,"Howdy, Y'all Seeking cat and LGBTQI+ Friendly room to rent closer to the Smyrna/Marietta area. $750 Max plus utilities for now. Move in ASAP- March 15th. Just moved from Portland 3 months ago and originally from Texas. Currently Service Industry and seeking a ""professional"" job. I have a degree and active in the Atlanta community already. Cat is cool in my room and is pretty lazy. I am mostly out of the house working or organizing but love to cook when I am in the house. Plenty of Zoom meetings keep me occupied but I am easy to get along with/go with the flow. Still COVID cautious and plan to remain so through Summer. Would love seperate bathroom, if possible - not mandatory. Thanks for reading!"
white,middle,22,"Hey guys! Looking for a room or roommate soon! I’m a 24-year-old Media and Entertainment major. Preferably no cats, but could make it work as long as they are not in my room! I love dogs, though, and am thinking about getting my own. I keep to myself, but would like a healthy relationship with my roommate(s), ideally female! I’ve been looking at places in Ponce Highland, and am touring the place below, which is a total of $1,225 ($612.50 per person). Let me know if anyone is interested!"
black,middle,25,"Looking for a 3 bedroom 2.5 or 3 bathroom townhome , apartment or house for $1500. Located near downtown Atlanta, midtown , buckhead, Brookhaven , north Decatur or metro Atlanta. Thank you ."
white,middle,23,"Hi!! Looking for a roommate or a private room and bath. $450-650, max $700. Need something as soon as possible. Preferably close to sandy springs or martha."
white,middle,26,Hey everyone I’m looking for a 1bed 1bath/ studio/ anything in NE atl. $800- 950/mo rent. My current lease ends April 30th so I’d like to be moved in mid April. I’d love something a w private land lord vs a big company. I’m a fan of quirky buildings & if there’s laundry that’d be great. If you know of anything let me know!!
white,poor,22,"Hello,
I currently live in Atlanta and am looking for a roommate to commit to a one year lease on a two bedroom apartment or house for around $800-$1000 a month. I would like to be inside the perimeter, preferably North or East side. A little about me, I am 23 and work in the construction industry, I love to be outside hiking, camping, fishing etc. if your interested or know someone that would be please DM me!"
black,middle,-,"Hey everyone! Iím looking for a temporary roommate at my apartment in Dunwoody, Georgia! 3-5 months, negotiable. Iím a music blogger & event production specialist looking to share some of my space for a while. Youíd have your own bedroom and bathroom with access to living room, kitchen & patio. Open parking available. All fresh carpet! Safe & quiet neighborhood in Dunwoody across the street from a Walmart. Access to 285 is very easy. Price includes rent & utilities. No pets, quiet or more introverted people preferred but open to all. Can move in ASAP for March at a pro-rated fee. Call to schedule virtual tour at 631-552-9556."
black,middle,28,"Looking for a room to rent 
Atlanta-Midtown-Dunwoody-Smyrna areas 
Maximum of 1,000$ monthly 
Work 5 days a week 7-3 
I have no pets, just want chill space and comfort 
I donít smoke but Iím 420 friendly
Landscape photographer 
Play semi pro football as well"
black,poor,25,"Wassup guys! 
I'm looking for a temp. and/or short term lease. Preferably a FURNISHED * 2 br. Anything close to Inman Park or West Midtown, I work at a MMA gym around those areas. A bit about ya girl: 
I'm from NYC. I'm v chill, I keep to myself and I'm clean. Would prefer a female roommate, someone cool with me bumpin loud music at times...but willing to compromise bc I'm desperate and fortunately earphones exist ?? lol. 
Looking for something ASAP , would like to finalize the move before the end of this month. Budget under $ 1,100...?? Yeah, I know....it'd be miraculous to find something by Inman but...hey....worth a try. Willing to consider a 3br if space is big enough and the roomates are cool. 
HIT ME UP YA'LL IM TRYNA GET OUT MY CURRENT PLACE OF RESIDENCE SUCKS ASS lol ??"
black,middle,25,Anybody doing a sublease for 1 bed 1 bath apartment? Preferably $1100 and lower. Move in asap!
black,poor,20,Hey guys ..My name is Lyric Iím 20 and looking for a roomie to go house or apartment hunting with ... preferably a Clean Female in her early 20s as well ion want no old tired ass bitch living with me??. Anyways you gotta be 420 friendly like FUCKKK cause bitch I like to smoke ??Iím a bartender so you need to be down with drinking to cause I need someone who will test taste the drink creations I come up with ????????I do work a lot mostly at night so you will have the house to yourself a lot around that time !! Anyways Iím looking to spend between 500-980 a month in rent . I will decorate our living room n kitchen you wonít have to worry about anything but your room ??
black,middle,25,Hello FB! I currently stay in a high rise building in sandy springs on the 8th floor. Currently I have a 2 bedroom 2 bathroom for $1500 a month. Im looking for a FEMALE roommate to take on the other half of the rent. I do have a small yorkie as well my lease is up in June and I do plan on moving out so this will be a temporary solution unless you choose to stay here. Bill in total will run you around $950 a month in total.
black,poor,25,"Hello ?? I am Jam, Iím an actress and Georgia is home. I currently live with family but would like to explore other options as I get older. 
ïI can afford $ 650- $1000 per month, Luxury apartment or townhome preferred. Have great credit and 
can pass a background check. Would like to live in the Atlanta, Buckhead, Midtown, North Druid Hills area( but a bit closer to the city).
ïI have my own car, but I know how to use Marta, and have my own bed. We will have to talk in person about current employment but I assure you I can pay downpayment, rent on time and legally ??.
ïI have no children and no current pets but I am looking into getting a service pet or ESA when I move.
ïMale/ Female/ LGBTQ / Tree / Fish / Aliens, Must be over 21+, and all races apply.
ïMore about my personality and interest when we do a coffee or dinner meet up. If you like my post please message me, would like to click with you as soon as possible. Would like to move in no later than January 31, 2021. "
black,middle,25,"Looking to rent a room out to a female between 25-40.
Rent would be $860 + utilities (1/3 usage).
Many have a basement if you would like entire basement it will be $1000.
8-12mo lease. Deposit required!
Found 4 bedroom homes in Roswell, super interested.
I would have 3 of the rooms and would take on large portion of the rent and utilities.
Please DM ME!"
black,poor,25,Hello. Iím looking for sublease of a 1bed/1 bath or 2 bed/2 bath in the Atlanta area. Or subleasing an entire apartment. Rent under $1000. Move in ready in November. Looking for sublease that only requires deposit to move in.
black,poor,25,"Hi everyone! Iím looking for a new place to live in the Marietta, Smyrna, Austell, North Atlanta Area. Iím 25, good credit, clean record, employed and with a creative background. Iím an actor, artist and musician. Iím also into sports, anime, traveling, cooking, skateboarding and cycling. 
I found potential properties I plan to move into November 15th, 2020. My budget is $500. Iím currently in search of a roommate. 
Ideal roommate:
No drugs or smoking of any kind AT ALL, clean, friendly, doesnít have pets or kids, into the arts, employed. 
If interested message me or comment below!"
black,middle,25,"If anyone will be looking to rent a room between Mid-November - early January, please let me know. I have a townhouse in West Midtown, in the neighborhood across from the new Westside Park that's being built. Rent is $825 plus your share of utilities. Home is full of young professionals and we're looking for someone similar. No pets (allergies)."
black,poor,25,Hey Guys i am looking for a roomate. I am located south of buckhead 5 minutes from midtown! No application needed nothing needed but a non refundable deposit of 760. Rent with utilities come around $760 to $800 a month thats including wifi. I am looking for someone liberal respectfull and CLEAN. IF YOU ARE NOT CLEAN ON THE COMMON AREA I WILL ASK YOU TO LEAVE.We are all grown and i ask for basic communication flexibility and peace. I am a pole dancing teacher so i do have the pole in the living room i am very open person ill make sure you feel at home and negotiate things. 4/20 friendly month to month agreement. In a 2bedroom 2 baths apartment with a gym pool and patio ?? your room has a walking closet and personal bathroom!
black,poor,25,"Looking for a room to rent with private bathroom. $650 is the most I can afford. Iím trying to leave an abusive relationship, but hit a roadblock trying to find a place. Prefer a female roommate who is cool with cats and 420 friendly!"
black,poor,25,"Hi there, hope all is well and that youíre staying safe.
ISO: 6 months sublet (potentially longer) room, studio, or 1bed. $1100 max. Preferably midtown but that is negotiable. Washer/Dryer in unit.
About me: Entertainment professional from NY looking to relocate to ATL. I am able to cook and clean. If iím not working iím cooking if iím not cooking iím stretching/working out. I love dogs but unfortunately donít own one. Iím passionate about event coordinating and wellness."
black,poor,25,Luxurious 2bd/2bath available for rent right by Cumberland mall w/ great view overlooking the pool + garage parking 1900 a month
black,middle,25,"2 Bed 1 Bath - Apartment in the Heart of Midtown! Rent would be around $660 for you then utilities is around $70 per month on top of that! Walking distance from Piedmont Park, convenient, tons of street parking, then you would have me as an awesome roommate, message me for more details! LGBTQ friendly! Need someone to take over my roommateís lease at the end of November, you would move in December 1st, 2020! "
